Name,Location,Open Year-Round,Handicap Accessible,Borough
Ditmars Park Playground,23 Avenue to Ditmars Boulevard,Yes,No,Queens
Double Nickel Playground,Osborne Street and Preston Avenue,Yes,Yes,Staten Island
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Yes,No,Manhattan
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",Yes,No,Queens
Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller avenues",Yes,No,Brooklyn
Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,Yes,No,Brooklyn
Drew Playground,"Fulton Avenue, East 169 Street",Yes,No,Bronx
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,No,Manhattan
Dugan Playground,Mill Road & Tysens Lane,Yes,No,Staten Island
Dutch Kills Playground (PS 112),"Crescent-28 streets, 36 Avenue, 37 Avenue",Yes,No,Queens
Dyckman House Museum,Broadway & West 204 Street,Yes,No,Manhattan
Dyker Beach Park,"Shore Parkway, 86 Street, 7 to 14 avenues",Yes,No,Brooklyn
East Elmhurst Playground (PS 127),25 Avenue & 98 Street,Yes,Yes,Queens
East River Park (10th Street),Northern extreme of park,Yes,No,Manhattan
East River Park (Tennis Courts),East River Park at Broome Street,Yes,No,Manhattan
East River Park (Track Building),East 6 Street & FDR Drive,Yes,No,Manhattan
East River Playground,"FDR Drive, East 106 to East 107 streets",Yes,No,Manhattan
East Springfield Playground,115 Road between 218 & 219 streets,Yes,No,Queens
Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",Yes,No,Bronx
Edenwald Playground,"East 226 Drive, Schieffelin Avenue",Yes,No,Bronx
Ederle Comfort Station,Flushing Meadows Corona Park,No,Yes,Queens
Edmonds Playground,"DeKalb Avenue, Adelphi Street",Yes,No,Brooklyn
Electric Playground,"164 Street, south of 65 Avenue",Yes,No,Queens
Emerald Playground (PS 200),164 Street between Jewel & 71 avenues,Yes,No,Queens
Equity Park,"90 Street, 88 & 89 avenues",Yes,No,Queens
Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,Yes,No,Brooklyn
Farm Playground,"73 Avenue, 195 Street & 196 Place",Yes,No,Queens
Fermi Playground,Troutman Street & Central Avenue,Yes,No,Brooklyn
Fisher Pool,"32 Avenue, 99 Street",No,No,Queens
Flushing Fields (Leonardo Ingravallo Playground),"Bayside Avenue, 25 Avenue, 149 to 150 streets",Yes,No,Queens
